?British School	1545  1330,785
Innes  James Dickson	1910  286,394
Innes  James Dickson	1908  502,648
Innes  James Dickson	1911  356,254
Innes  James Dickson	1908  324,203
Innes  James Dickson	1911  254,356
Inshaw  David	1972  1524,1835
Inventory	1999  1835,1225
Ironside  Robin	1943  419,698
Irvin  Albert	1978  2132,3045
Irvin  Albert	1982  2135,3047
Irvin  Albert	1995  2140,3056
Irwin  Gwyther	1959  1830,910
Irwin  Gwyther	1961  1226,762
Jack  Richard	1912  1524,2140
Jacklin  Bill	1970  737,737
Jackson  Alexander Young	1919  648,806
Jackson  Arthur	1937  254,356
Jackson  F. Ernest	1937  533,432
Jackson  Gilbert	1640  742,608
Jackson  John	1815  273,213
Jackson  John	1822  226,179
Jackson  John	1813  1321,965
Jackson  John	1825  915,710
Jackson  John	1830  1441,1099
Jacovleff  Alexandre	1933  327,479
Jacovleff  Alexandre	1933  327,340
Jacovleff  Alexandre	1933  352,457
Jacovleff  Alexandre	1937  521,756
Jacovleff  Alexandre	1937  502,279
Jacovleff  Alexandre	1937  556,381
Jacovleff  Alexandre	1931  752,556
Jacovleff  Alexandre	1933  505,333
Jacovleff  Alexandre	1933  311,505
Jacovleff  Alexandre	1931  759,562
Jacovleff  Alexandre	1933  505,321
Jacovleff  Alexandre	1933  327,492
James  A. Gosset	1938  635,1022
Jamieson  Alexander	1901  610,813
Janas  Piotr	2010  1100,2303
Janecek  Ota	1964  1302,967
Japp  Darsie	1912  693,920
Jaray  Tess	1969  2235,4318
Jarman  Derek	1993  2515,1790
Jenkins  Paul	1964  2946,1613
Jennings  Humphrey	1939  352,445
Jennings  Humphrey	1939  432,533
Jennings  Humphrey	1939  635,1013
Jennings  William George	1831  140,168
John	1961  1022,1276
John	1987  1522,1522
John	1964  460,415
John	1985  914,610
John	1985  1530,2449
John  Augustus  OM	1908  411,305
John  Augustus  OM	1912  451,305
John  Augustus  OM	1940  610,406
John  Augustus  OM	1917  762,635
John  Augustus  OM	1919  800,597
John  Augustus  OM	1935  921,718
John  Augustus  OM	1916  1022,768
John  Augustus  OM	1915  406,302
John  Augustus  OM	1911  406,324
John  Augustus  OM	1907  498,356
John  Augustus  OM	1900  349,483
John  Augustus  OM	1920  1867,1651
John  Augustus  OM	1953  762,635
John  Augustus  OM	1909  350,251
John  Augustus  OM	1927  2290,1550
John  Augustus  OM	1944  610,508
John  Augustus  OM	1913  2380,4720
John  Augustus  OM	1900  251,324
John  Augustus  OM	1902  327,298
John  Augustus  OM	1920  470,318
John  Augustus  OM	1932  508,405
John  Augustus  OM	1911  330,235
John  Augustus  OM	1916  2750,11900
John  Augustus  OM	1928  762,686
John  Augustus  OM	1932  616,514
John  Augustus  OM	1920  508,356
John  Augustus  OM	1907  353,253
John  Augustus  OM	1915  356,254
John  Augustus  OM	1924  457,381
John  Augustus  OM	1918  730,540
John  Augustus  OM	1898  686,558
John  Augustus  OM	1907  508,457
John  Augustus  OM	1911  316,407
John  Augustus  OM	1909  368,445
John  Augustus  OM	1908  501,354
John  Augustus  OM	1908  457,273
John  Augustus  OM	1928  470,546
John  Augustus  OM	1920  356,216
John  Gwen	1915  238,210
John  Gwen	1918  337,254
John  Gwen	1909  445,279
John  Gwen	1904  111,137
John  Gwen	1902  448,349
John  Gwen	1903  730,489
John  Gwen	1909  403,254
John  Gwen	1904  123,160
John  Gwen	1916  470,203
John  Gwen	1920  460,298
John  Gwen	1904  165,117
John  Gwen	1915  324,251
John  Gwen	1904  584,381
John  Richard Johnny	1973  119,83
Johns  Jasper	1961  1372,1048
Johns  Jasper	1980  2000,1619
Johnson  Charles Edward	1879  1410,2121
Johnson  Cornelius	1629  435,318
Johnson  Cornelius	1620  679,518
Johnson  Cornelius	1644  781,635
Johnson  Cornelius	1644  787,635
Johnson  Cornelius	1659  1245,1010
Johnson  Cornelius	1646  794,641
Johnson  Cornelius	1629  410,330
Johnson  James	1825  902,1441
Johnson  Ray	1971  310,314
Johnstone  William	1927  1381,2416
Johnstone  William	1980  1676,1981
Johnstone  William	1975  916,1318
Jones  Allen	1977  1835,1835
Jones  Allen	1963  2136,1832
Jones  Allen	1961  1829,1829
Jones  Allen	1966  934,915
Jones  David	1941  629,495
Jones  David	1938  622,495
Jones  David	1932  622,502
Jones  David	1946  490,703
Jones  David	1949  406,330
Jones  David	1929  648,502
Jones  David	1932  550,760
Jones  David	1921  410,330
Jones  David	1924  356,298
Jones  David	1940  629,498
Jones  David	1938  327,210
Jones  David	1954  784,578
Jones  David	1925  193,133
Jones  Fred Cecil	1936  495,419
Jones  George	1832  546,403
Jones  George	1869  1092,2083
Jones  George	1832  902,608
Jones  George	1833  749,610
Jones  George	1829  914,711
Jones  George	1829  1219,2134
Jones  Harold	1935  489,337
Jones  Thomas	1782  200,232
Jones  Thomas	1783  381,552
Jones  Thomas	1777  406,552
Jones  Thomas	1785  241,330
Jones  Thomas	1772  318,222
Jones  Thomas	1777  283,429
Jones  Thomas	1781  211,278
Jones  Thomas	1777  432,289
Jones  Thomas	1782  245,396
Jones  Thomas	1782  287,387
Jones  William	1740  635,762
Jones  Zebedee	1998  990,840
Jorn  Asger	1956  1300,1955
Jorn  Asger	1957  997,806
Jorn  Asger	1955  479,632
Joseph  Lily D.	1937  1346,1473
Joseph  Peter	1981  1648,1876
Joseph  Peter	1967  1180,2140
Judd  Donald	1967  436,560
Jungman  Nico	1922  635,762
Kahn  Erich	1954  508,610
Kandinsky  Wassily	1925  705,502
Kandinsky  Wassily	1910  946,1302
Kapoor  Anish	1987  385,302
Kapoor  Anish	1989  700,498
Kapoor  Anish	1989  545,585
Kapoor  Anish	2000  430,380
Kapoor  Anish	1990  562,761
Kapoor  Anish	1986  310,440
Kapoor  Anish	1988  560,560
Kapoor  Anish	1987  420,350
Kapoor  Anish	1987  540,760
Kapoor  Anish	1986  747,559
Kapoor  Anish	1989  500,480
Kapoor  Anish	1989  585,558
Kapoor  Anish	1989  760,560
Katz  Alex	1992  231,320
Katz  Alex	1969  356,253
Katz  Alex	1998  229,300
Katz  Alex	1981  405,302
Katz  Alex	1979  196,238
Katz  Alex	1983  307,229
Katz  Alex	1997  231,302
Katz  Alex	1981  1828,2437
Katz  Alex	1997  228,299
Katz  Alex	1994  302,230
Katz  Alex	1993  230,302
Katz  Alex	1989  407,301
Katz  Alex	1998  308,230
Katz  Alex	1994  403,304
Katz  Alex	1999  229,305
Katz  Alex	2000  230,305
Katz  Alex	1967  309,404
Katz  Alex	1998  234,306
Kaufmann  Isidor	1910  381,276
Kawara  On	1984  260,334
Keen  Jeff	1950  375,279
Keen  Jeff	1950  380,285
Keen  Jeff	1950  340,298
Keen  Jeff	1950  375,278
Keene  Charles Samuel	1860  102,133
Keene  Charles Samuel	1885  140,89
Keene  Charles Samuel	1883  175,146
Keene  Charles Samuel	1860  140,127
Keene  Charles Samuel	1860  162,102
Keene  Charles Samuel	1867  197,159
Keene  Charles Samuel	1883  127,83
Keene  Charles Samuel	1884  130,83
Keene  Charles Samuel	1885  121,83
Keene  Charles Samuel	1860  187,127
Keirincx  Alexander	1639  529,687
Kelly  Ellsworth	1958  1982,1767
Kelly  Ellsworth	1974  1619,5131
Kelly  Ellsworth	1996  1357,3556
Kelly  Sir Gerald	1908  216,270
Kelly  Sir Gerald	1906  148,180
Kelly  Sir Gerald	1904  180,120
Kelly  Sir Gerald	1909  1270,1016
Kelly  Sir Gerald	1911  1016,762
Kelly  Sir Gerald	1912  1165,965
Kelly  Sir Gerald	1908  149,180
Kemp-Welch  Lucy	1917  1524,3061
Kemp-Welch  Lucy	1897  1537,3060
Kennington  Eric	1917  749,651
Kennington  Eric	1917  762,483
Kennington  Eric	1920  770,566
Kennington  Eric	1918  324,337
Kennington  Eric	1917  629,470
Kennington  Eric	1941  784,533
Kennington  Thomas Benjamin	1885  1016,762
Kentridge  William	2000  2010,1010
Kerr  Charles Henry Malcolm	1905  762,321
Kerr  Charles Henry Malcolm	1899  1372,914
Kerr-Lawson  James	1910  127,89
Kerrich  Thomas	1794  140,226
Kerrich  Thomas	1796  116,195
Kerrich  Thomas	1795  195,120
Kerrich  Thomas	1795  220,275
Kerrich  Thomas	1795  226,280
Kerrich  Thomas	1795  221,272
Kerrich  Thomas	1794  144,222
Kerrich  Thomas	1795  226,275
Kerrich  Thomas	1795  226,284
Kerrich  Thomas	1795  226,286
Kerrich  Thomas	1790  240,145
Kessell  Mary	1960  711,1219
Kettle  Tilly	1772  762,629
Kettle  Tilly	1765  1924,1295
Khakhar  Bhupen	1981  1756,1756
Kidner  Michael	1965  427,212
Kidner  Michael	1971  2286,1524
Kidner  Michael	1965  290,90
Kidner  Michael	1964  558,290
Kidner  Michael	1960  350,267
Kidner  Michael	1961  1270,1041
Kidner  Michael	1965  308,560
Kidner  Michael	1966  400,560
Kiefer  Anselm	1996  2815,5030
Kiefer  Anselm	1983  4205,2805
Kiefer  Anselm	1969  765,585
Kiefer  Anselm	2006  1760,1390
Kiefer  Anselm	1969  630,832
Kiefer  Anselm	2006  635,1260
Kiefer  Anselm	1969  775,534
Kiefer  Anselm	2007  1400,635
Kiefer  Anselm	2007  1230,1300
Kiefer  Anselm	1969  633,833
Kiefer  Anselm	1969  630,833
Kiefer  Anselm	1969  535,759
Kiefer  Anselm	1969  513,757
Kiefer  Anselm	2010  1852,2460
Kiefer  Anselm	2006  1155,1250
Kiefer  Anselm	1999  4700,4000
Kiefer  Anselm	2000  3803,2805
Kiefer  Anselm	1981  2905,4000
Kiefer  Anselm	1969  760,540
Kiefer  Anselm	1973  3247,2198
Kiefer  Anselm	1973  3247,2188
Kiefer  Anselm	1973  3007,4345
Kiff  Ken	1965  610,610
Kiff  Ken	1983  1161,892
King  John Henry Yeend	1898  1219,1840
Kinley  Peter	1967  1374,1830
Kinley  Peter	1982  1676,2134
Kinley  Peter	1966  1375,1830
Kinley  Peter	1970  2033,2592
Kinley  Peter	1983  2085,2872
Kinley  Peter	1980  1932,2780
Kinley  Peter	1957  1448,889
Kirchner  Ernst Ludwig	1909  1511,1997
Kirk  Eve	1939  502,730
Kirkeby  Per	2000  2203,1252
Kirkeby  Per	1995  4016,3613
Kitaj  R.B.	1975  851,1584
Kitaj  R.B.	1972  698,1051
Kitaj  R.B.	2003  920,920
Kitaj  R.B.	1981  773,563
Kitaj  R.B.	1990  1832,1832
Kitaj  R.B.	1958  1049,842
Kitaj  R.B.	1983  1830,1830
Kitaj  R.B.	1973  1524,1524
Kitaj  R.B.	1960  1530,1524
Kitaj  R.B.	1976  2438,768
Kitaj  R.B.	2007  308,307
Kitaj  R.B.	1962  1829,1524
Kitaj  R.B.	1971  688,943
Klee  Paul	1935  508,470
Klee  Paul	1930  650,458
Klee  Paul	1930  368,467
Klee  Paul	1926  300,487
Klee  Paul	1927  327,488
Klee  Paul	1922  625,480
Klee  Paul	1927  355,487
Klee  Paul	1921  305,454
Klee  Paul	1920  311,235
Kline  Franz	1960  2359,1956
Klinghoffer  Clara	1926  533,648
Klossowski de Rola  Balthus	1940  729,928
Klossowski de Rola  Balthus	1943  797,984
Klossowski de Rola  Balthus	1950  723,918
Kneale  Bryan	1985  1831,913
Kneller  Sir Godfrey	1715  327,241
Kneller  Sir Godfrey	1695  749,635
Kneller  Sir Godfrey	1707  2205,1565
Kneller  Sir Godfrey	1696  758,630
Kneller  Sir Godfrey	1676  1372,1016
Kneller  Sir Godfrey	1721  2348,2838
Kneller  Sir Godfrey	1672  1765,1486
Knight  Charles Parsons	1893  622,1105
Knight  Dame Laura	1916  1524,1829
Knight  Dame Laura	1939  610,406
Knight  Harold	1938  610,508
Knight  John Prescott	1843  1460,1956
Knight  John William Buxton	1908  915,1220
Knight  John William Buxton	1891  978,1455
Knight  Joseph	1877  851,1245
Knights  Winifred	1920  1529,1835
Knights  Winifred	1921  305,324
Knowles  Justin	1974  226,226
Kohn  Misch	1949  416,606
Kokoschka  Oskar	1967  562,766
Kokoschka  Oskar	1971  320,240
Kokoschka  Oskar	1967  561,766
Kokoschka  Oskar	1910  451,305
Kokoschka  Oskar	1939  634,762
Kokoschka  Oskar	1971  1300,1000
Kokoschka  Oskar	1967  560,766
Kokoschka  Oskar	1941  635,762
Kokoschka  Oskar	1942  635,762
Kokoschka  Oskar	1967  652,766
Kokoschka  Oskar	1939  606,864
Kokoschka  Oskar	1942  1019,768
Kokoschka  Oskar	1942  355,253
Kokoschka  Oskar	1967  651,768
Kokoschka  Oskar	1967  860,766
Koller  Július	1979  160,114
Koller  Július	1972  170,170
Koller  Július	1978  192,250
Koller  Július	1974  174,123
Koller  Július	1975  165,111
Koller  Július	1970  239,160
Koller  Július	1982  210,295
Koller  Július	1980  80,115
Koller  Július	1969  105,116
Koller  Július	1966  170,215
Koller  Július	1970  149,203
Komura  Kiyohiko	1950  400,400
Kooning  Willem de	1966  1524,1219
Kooning  Willem de	1966  476,610
Kooning  Willem de	1966  610,476
Kooning  Willem de	1966  914,610
Koons  Jeff	1988  915,712
Koons  Jeff	1989  3145,6910
Koppel  Heinz	1957  1220,2190
Koppel  Heinz	1958  787,484
Kossoff  Leon	1965  356,254
Kossoff  Leon	1965  298,222
Kossoff  Leon	1974  1600,2184
Kossoff  Leon	1943  386,522
Kossoff  Leon	1993  775,580
Kossoff  Leon	1952  560,405
Kossoff  Leon	1967  763,556
Kossoff  Leon	1971  1680,2140
Kossoff  Leon	1990  1986,1892
Kossoff  Leon	1959  2134,1232
Kossoff  Leon	1980  2438,1828
Kossoff  Leon	1965  254,197
Kossoff  Leon	1971  419,591
Kossoff  Leon	1995  1828,2031
Kossoff  Leon	1987  1982,1827
Kossoff  Leon	1965  1854,1245
Kosuth  Joseph	1965  610,2902
Kosuth  Joseph	1997  685,936
Kounellis  Jannis	1999  355,387
Kounellis  Jannis	1971  2200,3169
Kounellis  Jannis	1983  357,430
Kounellis  Jannis	1960  1409,2305
Kovanda  Jiri	1981  294,212
Kovanda  Jiri	1980  293,210
Kramer  Jacob	1928  764,637
Kramer  Jacob	1928  762,641
Kramer  Jacob	1919  876,498
Krasinski  Edward	1975  699,500
Krasner  Lee	1961  1768,2378
Kunst  Mauro	1971  597,498
Kuper  Roi	1999  1190,1190
Kupka  Frantisek	1906  648,648
La Thangue  Henry Herbert	1896  1676,1664
La Thangue  Henry Herbert	1886  1190,695
Ladbrooke  Robert	1806  600,743
Laidlay  William James	1900  406,610
Laing  J.S.	1847  141,115
Lalic  Maria	1995  600,600
Lalic  Maria	1995  601,602
Lam  Wifredo	1950  1045,876
Lamb  Henry	1940  1143,914
Lamb  Henry	1933  635,762
Lamb  Henry	1912  749,692
Lamb  Henry	1944  559,457
Lamb  Henry	1912  508,406
Lamb  Henry	1914  2445,1784
Lamb  Henry	1909  356,292
Lamb  Henry	1911  914,610
Lamb  Henry	1912  864,610
Lamb  Henry	1911  368,318
Lambert  George	1751  303,423
Lambert  George	1733  908,1804
Lambert  George	1746  917,1215
Lambert  George	1746  912,1218
Lambert  George	1745  1035,1168
Lambert  James	1769  867,1121
Lambourn  George	1936  546,457
Lancaster  Mark	1968  1727,1727
Lancaster  Mark	1970  1727,1727
Lancaster  Osbert	1939  356,254
Lancaster  Rev. Richard Hume	1814  508,711
Lancaster  Rev. Richard Hume	1817  886,1365
Lance  George	1848  711,914
Lance  George	1847  448,508
Lance  George	1834  460,521
Landseer  Charles	1839  1537,1965
Landseer  Charles	1836  1003,1257
Landseer  Charles	1839  718,925
Landseer  Charles	1833  610,508
Landseer  Sir Edwin Henry	1845  698,902
Landseer  Sir Edwin Henry	1834  542,432
Landseer  Sir Edwin Henry	1838  1118,1435
Landseer  Sir Edwin Henry	1829  457,349
Landseer  Sir Edwin Henry	1827  451,610
Landseer  Sir Edwin Henry	1822  254,321
Landseer  Sir Edwin Henry	1833  352,445
Landseer  Sir Edwin Henry	1835  240,380
Landseer  Sir Edwin Henry	1835  1016,1270
Landseer  Sir Edwin Henry	1839  889,692
Landseer  Sir Edwin Henry	1843  889,1689
Landseer  Sir Edwin Henry	1844  1422,1118
Landseer  Sir Edwin Henry	1839  432,543
Landseer  Sir Edwin Henry	1848  1124,1429
Landseer  Sir Edwin Henry	1829  470,591
Landseer  Sir Edwin Henry	1832  405,908
Landseer  Sir Edwin Henry	1821  912,710
Landseer  Sir Edwin Henry	1850  1937,3880
Landseer  Sir Edwin Henry	1829  457,352
Landseer  Sir Edwin Henry	1813  159,229
Landy  Michael	2006  1500,2270
Lane  Samuel	1836  305,254
Lane  Theodore	1828  406,559
Lanyon  Peter	1953  559,762
Lanyon  Peter	1958  1219,1829
Lanyon  Peter	1951  2445,1219
Lanyon  Peter	1959  1832,1527
Lanyon  Peter	1948  515,770
Lanyon  Peter	1960  561,767
Lanyon  Peter	1949  532,736
Lanyon  Peter	1953  416,519
Lanyon  Peter	1963  1220,1830
Lanyon  Peter	1953  466,620
Lanyon  Peter	1960  1829,1524
Laporte  George Henry	1835  486,673
Large  Valerie	1973  298,500
Larionov  Michel	1913  502,610
Larionov  Michel	1911  241,159
Larionov  Michel	1915  273,200
Larionov  Michel	1911  870,991
Larionov  Michel	1907  229,340
Laroon  Marcellus  the Younger	1771  496,335
Laroon  Marcellus  the Younger	1720  1016,1270
Laroon  Marcellus  the Younger	1730  905,699
Laroon  Marcellus  the Younger	1750  457,385
Latham  James	1740  1346,1080
Latham  John	1963  1530,2140
Latham  John	1961  3015,2580
Latham  John	1954  1221,977
Laurencin  Marie	1915  330,460
Laurencin  Marie	1919  305,300
Laurens  Henri	1926  301,227
Laurens  Henri	1917  388,291
Lavery  Sir John	1923  635,813
Lavery  Sir John	1888  235,349
Lavery  Sir John	1922  635,762
Lavery  Sir John	1926  608,507
Lavery  Sir John	1911  1981,1467
Lavery  Sir John	1898  318,171
Lavery  Sir John	1929  857,1168
Law  Bob	1971  1530,2042
Law  Bob	2001  722,1026
Law  Bob	1967  1676,1753
Law  Bob	1960  679,1006
Law  Bob	1987  566,750
Law  Bob	1987  562,763
Law  Bob	1969  2135,2895
Law  Bob	1972  2540,5336
Lawrence  Eileen	1977  2438,152
Lawrence  Sir Thomas	1786  324,273
Lawrence  Sir Thomas	1804  2540,1480
Lawrence  Sir Thomas	1827  756,629
Lawrence  Sir Thomas	1800  356,302
Lawrence  Sir Thomas	1812  460,384
Lawrence  Sir Thomas	1806  1426,1022
Lawrence  Sir Thomas	1825  690,565
Lawrence  Sir Thomas	1790  940,1111
Lawrence  Sir Thomas	1810  749,622
Lawrence  Sir Thomas	1805  1264,1016
Lawrence  Sir Thomas	1821  2683,1768
Lawrence  Sir Thomas	1801  3061,1981
Lawrence  Sir Thomas	1798  2397,1473
Lawrence  Sir Thomas	1789  2403,1480
Lawrence  Sir Thomas	1796  762,635
Lawson  Cecil	1874  1537,2134
Lawson  Cecil	1880  1689,3045
Lawson  Thomas	1985  1830,3660
Le Bas  Edward	1951  933,1670
Le Bas  Edward	1939  546,800
Le Bas  Edward	1940  883,1099
Le Bas  Edward	1947  667,559
Le Brocquy  Louis	1959  921,730
Le Brocquy  Louis	1946  508,356
Le Brun  Christopher  PRA	1981  2440,2285
Le Brun  Christopher  PRA	1986  460,360
Le Corbusier	1953  1619,1137
Le Sidaner  Henri	1904  654,813
Leader  Benjamin Williams	1883  1194,2007
Leaman  Jonathan	1995  1235,1705
Leapman  Edwina	1964  1388,1900
Lear  Edward	1844  225,391
Lear  Edward	1858  165,514
Lear  Edward	1852  514,822
Lear  Edward	1858  152,502
Lear  Edward	1868  152,229
Lear  Edward	1856  235,321
Lear  Edward	1840  330,229
Lear  Edward	1868  187,537
Lear  Edward	1848  356,508
Lear  Edward	1838  298,175
Lear  Edward	1838  356,254
Lear  Edward	1842  267,489
Lear  Edward	1860  311,238
Lear  Edward	1838  216,305
Lear  Edward	1858  178,502
Lear  Edward	1858  337,514
Lear  Edward	1861  229,352
Lear  Edward	1860  232,324
Lear  Edward	1856  314,486
Leck  Bart van der	1917  965,1499
Leck  Bart van der	1918  543,425
Lee  Frederick Richard	1834  857,1092
Lee  Frederick Richard	1830  387,518
Lee  Frederick Richard	1854  952,1308
Lee  Frederick Richard	1839  489,406
Lee  Frederick Richard	1855  1270,1835
Lee  Sydney	1943  508,762
Lee  Ufan	1993  1940,2600
Lee  Ufan	1978  1818,2275
Lee  Ufan	1982  1620,1302
Lees  Derwent	1912  330,406
Lees  Derwent	1912  229,305
Lees  Derwent	1910  225,340
Lees  Derwent	1913  324,406
Legros  Alphonse	1872  1187,1181
Legros  Alphonse	1907  286,210
Legros  Alphonse	1867  1168,1414
Legros  Alphonse	1877  1130,1429
Legros  Alphonse	1870  914,1168
Legros  Alphonse	1883  641,457
Legros  Alphonse	1888  1335,1770
Leighton  Lord Frederic	1886  213,419
Leighton  Lord Frederic	1890  1892,622
Leighton  Lord Frederic	1858  210,311
Leighton  Lord Frederic	1867  464,413
Leighton  Lord Frederic	1861  1016,629
Leighton  Lord Frederic	1892  2286,2286
Leighton  Lord Frederic	1862  225,285
Lely  Sir Peter	1650  1270,1492
Lely  Sir Peter	1670  1251,1003
Lely  Sir Peter	1670  1245,1016
Lely  Sir Peter	1648  1410,1029
Lely  Sir Peter	1648  1428,1055
Lely  Sir Peter	1660  1270,1810
Lely  Sir Peter	1670  1232,1010
Lely  Sir Peter	1679  1234,1000
Lemon  Arthur	1881  852,1200
Leonard  Zoe	1992  763,546
Leonard  Zoe	1990  698,993
Leslie  Charles Robert	1851  140,216
Leslie  Charles Robert	1844  352,300
Leslie  Charles Robert	1829  244,190
Leslie  Charles Robert	1829  813,559
Leslie  Charles Robert	1827  445,486
Leslie  Charles Robert	1859  229,305
Leslie  Charles Robert	1844  328,418
Leslie  Charles Robert	1851  140,114
Leslie  Charles Robert	1854  248,330
Leslie  Charles Robert	1841  247,293
Leslie  Charles Robert	1854  153,146
Leslie  Charles Robert	1851  140,102
Leslie  Charles Robert	1844  140,168
Leslie  Charles Robert	1842  838,584
Leslie  Charles Robert	1858  215,283
Leslie  Charles Robert	1850  381,483
Leslie  Charles Robert	1837  264,352
Leslie  Charles Robert	1843  1219,1524
Leslie  George Dunlop	1906  1194,940
Leslie  George Dunlop	1876  952,635
Lessore  Helen	1967  354,302
Lessore  Helen	1974  1680,2137
Lethaby  William Richard	1882  248,346
Lett-Haines  Arthur	1922  459,436
Lett-Haines  Arthur	1934  478,627
Levy  Simon	1925  1213,857
Lewis  A. Neville	1923  356,254
Lewis  A. Neville	1937  381,279
Lewis  George Robert	1815  267,495
Lewis  George Robert	1815  140,195
Lewis  George Robert	1815  143,195
Lewis  George Robert	1815  416,597
Lewis  George Robert	1819  114,186
Lewis  George Robert	1819  115,186
Lewis  George Robert	1833  112,188
Lewis  John Frederick	1833  260,363
Lewis  John Frederick	1876  886,1111
Lewis  John Frederick	1828  210,286
Lewis  John Frederick	1834  302,375
Lewis  John Frederick	1843  368,495
Lewis  John Frederick	1824  343,260
Lewis  John Frederick	1841  305,254
Lewis  John Frederick	1825  216,324
Lewis  John Frederick	1832  210,279
Lewis  John Frederick	1860  298,775
Lewis  John Frederick	1825  991,1372
Lewis  John Frederick	1864  368,356
Lewis  John Frederick	1841  540,379
Lewis  John Frederick	1832  273,356
Lewis  Morland	1937  222,270
Lewis  Morland	1931  451,610
Lewis  Wyndham	1920  281,279
Lewis  Wyndham	1923  864,1118
Lewis  Wyndham	1919  279,381
Lewis  Wyndham	1934  838,597
Lewis  Wyndham	1919  381,559
Lewis  Wyndham	1912  273,292
Lewis  Wyndham	1923  1257,1003
Lewis  Wyndham	1933  711,914
Lewis  Wyndham	1914  765,610
Lewis  Wyndham	1912  311,381
Lewis  Wyndham	1919  292,229
Lewis  Wyndham	1923  381,330
Lewis  Wyndham	1923  457,330
Lewis  Wyndham	1927  327,298
Lewis  Wyndham	1920  279,381
Lewis  Wyndham	1913  343,267
Lewis  Wyndham	1939  762,1016
Lewis  Wyndham	1938  610,457
Lewis  Wyndham	1943  1143,857
Lewis  Wyndham	1912  559,337
Lewis  Wyndham	1946  967,917
Lewis  Wyndham	1915  2007,1537
Lewis  Wyndham	1927  1829,787
Lhote  André	1918  333,360
Li  Yuan-chia	1963  599,800
Lichtenstein  Roy	1963  149,305
Lichtenstein  Roy	1963  1727,4064
Lichtenstein  Roy	1991  3209,4553
Liebermann  Max	1918  965,781
Liebermann  Max	1904  629,911
Liebermann  Max	1934  921,733
Lightfoot  Maxwell Gordon	1910  305,244
Lijn  Liliane	1971  560,776
Lijn  Liliane	1971  560,796
Lijn  Liliane	1971  560,797
Lindner  Richard	1952  921,603
Lindner  Richard	1958  1524,1016
Ling  Simon	2010  x,mm,,,,,,©
Ling  Simon	2008  1220,917
Linke  Simon	1988  914,914
Linnell  John	1864  718,997
Linnell  John	1865  940,1397
Linnell  John	1832  232,168
Linnell  John	1812  187,225
Linnell  John	1833  210,327
Linnell  John	1812  102,125
Linnell  John	1825  260,206
Linnell  John	1858  378,460
Linnell  John	1825  298,214
Linnell  John	1853  883,1473
Linnell  John	1833  407,349
Linnell  John	1856  914,1219
Linnell  John	1811  711,1067
Linnell  John	1806  324,168
Linnell  John	1806  194,267
Linnell  John	1806  165,254
Linnell  John	1814  302,241
Linnell  John	1844  381,457
Linnell  John	1834  235,381
Lion  Flora	1909  1276,1150
Lipchitz  Jacques	1936  308,241
Livens  Horace Mann	1900  305,292
Livens  Horace Mann	1898  368,286
Livens  Horace Mann	1902  368,286
Llewellyn  Sir William	1938  635,762
Lloyd  James	1967  381,533
Lochore  Brad	1992  2998,1401
Locker  Edward Hawke	1802  388,518
Locker  Edward Hawke	1810  300,222
Loker  John	1977  2134,1829
Long  Richard	1981  1241,962
Long  Richard	1991  1820,940
Long  Richard	1990  830,1121
Long  Richard	1990  830,1120
Long  Richard	1986  1533,1041
Long  Richard	1977  875,1225
Long  Richard	1967  608,812
Lorimer  John Henry	1875  546,381
Loudoun  Edith Maud Rawdon-Hasting  Countess of	1866  154,400
Louis  Morris	1962  2597,445
Louis  Morris	1960  2650,3620
Louis  Morris	1958  2324,3391
Louis  Morris	1961  2591,4597
Louis  Morris	1960  2603,3594
Low  Sir David	1938  419,610
Low  Sir David	1936  368,552
Low  Sir David	1940  387,495
Low  Sir David	1925  273,279
Lowinsky  Thomas	1935  571,445
Lowinsky  Thomas	1922  775,724
Lowinsky  Thomas	1930  438,914
Lowry  L.S.	1955  1143,1524
Lowry  L.S.	1948  457,610
Lowry  L.S.	1950  1143,1524
Lowry  L.S.	1927  347,539
Lowry  L.S.	1927  283,394
Lowry  L.S.	1955  508,610
Lowry  L.S.	1927  432,533
Lowry  L.S.	1962  762,1016
Lucas  John Seymour	1884  1426,1962
Lucio	1959  698,1089
Lundquist  Evert	1956  1000,902
László  Philip Alexius de	1911  955,745
Léger  Fernand	1954  972,1299
Léger  Fernand	1927  1295,972
Léger  Fernand	1923  325,245
Léger  Fernand	1927  194,278
Léger  Fernand	1928  651,537
Léger  Fernand	1928  600,918
Léger  Fernand	1954  330,460
Léger  Fernand	1948  1302,1626
Léger  Fernand	1921  921,600
Léger  Fernand	1926  242,303
MacBryde  Robert	1946  533,705
MacWhirter  John	1892  1260,1871
Macallum  Hamilton	1883  343,445
Macallum  Hamilton	1896  910,1710
Macallum  Hamilton	1878  343,419
Macbeth  Robert Walker	1890  832,1372
Maccallum  Andrew	1885  908,1213
Maccoll  Dugald Sutherland	1909  235,302
Maccoll  Dugald Sutherland	1906  229,305
Maccoll  Dugald Sutherland	1906  302,229
Maccoll  Dugald Sutherland	1899  140,190
Maccoll  Dugald Sutherland	1931  356,279
Maccoll  Dugald Sutherland	1917  248,346
Macdonald  Frances	1944  561,1220
Macdonald  Georgina	1857  99,178
Mach  David	1985  1525,1525
Mack  Heinz	1963  578,571
Mackenzie  Alexander	1963  537,645
Mackenzie  Frederick	1811  784,616
